,Unnamed: 0,driver_age,driver_experience,previous_accidents,annual_mileage_x1000_km,car_manufacturing_year,car_age,insurance_premium
0,0,56,32,4,17,2002,23,488.35
1,1,46,19,0,21,2025,0,486.15
2,2,32,11,4,15,2020,5,497.55
3,3,60,0,4,19,1991,34,498.35
4,4,25,7,0,13,2005,20,495.55
5,5,38,13,2,11,1998,27,494.75
6,6,56,37,3,14,1998,27,485.6
7,7,36,18,1,19,2000,25,492.35
8,8,40,10,4,14,2011,14,497.1
9,9,28,10,5,12,2022,3,499.8
10,10,28,10,5,20,2025,0,499.9
11,11,41,2,3,24,2012,13,498.2
12,12,53,32,5,24,2023,2,488.7
13,13,57,5,2,15,1998,27,493.55
14,14,41,9,5,13,2013,12,498.45
15,15,20,2,1,23,1997,28,500.85
16,16,39,21,1,22,1996,29,491.4
17,17,19,1,4,23,2025,0,503.05
18,18,41,1,0,19,2007,18,494.25
19,19,61,12,2,14,1992,33,491.2
20,20,47,29,4,16,2017,8,489.5
21,21,55,1,2,12,1995,30,495.3
22,22,19,1,0,16,2010,15,498.2
23,23,38,0,5,13,2017,8,501.35
24,24,50,32,5,22,1990,35,492.5
25,25,29,8,0,22,2025,0,492.9
26,26,39,16,4,19,2010,15,495.85
27,27,61,8,0,21,2024,1,486.55
28,28,42,10,3,12,2002,23,496.0
29,29,44,14,1,25,1999,26,492.35
30,30,59,23,4,22,1999,26,491.0
31,31,45,27,2,22,2002,23,489.3
32,32,33,15,3,19,2013,12,495.55
33,33,32,14,4,15,1991,34,499.55
34,34,64,30,0,18,2011,14,480.5
35,35,61,4,0,12,2006,19,489.1
36,36,20,2,0,16,2025,0,496.2
37,37,54,10,0,13,2003,22,489.05
38,38,24,6,2,22,1999,26,500.1
39,39,38,20,3,22,2024,1,492.1
40,40,26,8,5,24,2014,11,502.2
41,41,56,34,1,20,1992,33,484.4
42,42,35,17,2,15,2006,19,493.55
43,43,21,0,2,22,2001,24,502.3
